source,match_id,home_team,away_team,group,date,home_win_prob,draw_prob,away_win_prob,home_win_odds,draw_odds,away_win_odds,extra
openfootball,netherlands_vs_japan,Netherlands,Japan,F,2026-06-14,,,,,,,"{""round"": ""Matchday 4"", ""time"": ""15:00 UTC-5"", ""ground"": ""Dallas (Arlington)""}"
openfootball,sweden_vs_tunisia,Sweden,Tunisia,F,2026-06-14,,,,,,,"{""round"": ""Matchday 4"", ""time"": ""20:00 UTC-6"", ""ground"": ""Monterrey (Guadalupe)""}"
openfootball,netherlands_vs_sweden,Netherlands,Sweden,F,2026-06-20,,,,,,,"{""round"": ""Matchday 10"", ""time"": ""12:00 UTC-5"", ""ground"": ""Houston""}"
openfootball,tunisia_vs_japan,Tunisia,Japan,F,2026-06-20,,,,,,,"{""round"": ""Matchday 10"", ""time"": ""22:00 UTC-6"", ""ground"": ""Monterrey (Guadalupe)""}"
openfootball,japan_vs_sweden,Japan,Sweden,F,2026-06-25,,,,,,,"{""round"": ""Matchday 15"", ""time"": ""18:00 UTC-5"", ""ground"": ""Dallas (Arlington)""}"
openfootball,tunisia_vs_netherlands,Tunisia,Netherlands,F,2026-06-25,,,,,,,"{""round"": ""Matchday 15"", ""time"": ""18:00 UTC-5"", ""ground"": ""Kansas City""}"
openfootball,belgium_vs_egypt,Belgium,Egypt,G,2026-06-15,,,,,,,"{""round"": ""Matchday 5"", ""time"": ""12:00 UTC-7"", ""ground"": ""Seattle""}"
openfootball,iran_vs_new_zealand,Iran,New Zealand,G,2026-06-15,,,,,,,"{""round"": ""Matchday 5"", ""time"": ""18:00 UTC-7"", ""ground"": ""Los Angeles (Inglewood)""}"
openfootball,belgium_vs_iran,Belgium,Iran,G,2026-06-21,,,,,,,"{""round"": ""Matchday 11"", ""time"": ""12:00 UTC-7"", ""ground"": ""Los Angeles (Inglewood)""}"
openfootball,new_zealand_vs_egypt,New Zealand,Egypt,G,2026-06-21,,,,,,,"{""round"": ""Matchday 11"", ""time"": ""18:00 UTC-7"", ""ground"": ""Vancouver""}"
openfootball,egypt_vs_iran,Egypt,Iran,G,2026-06-26,,,,,,,"{""round"": ""Matchday 16"", ""time"": ""20:00 UTC-7"", ""ground"": ""Seattle""}"
openfootball,new_zealand_vs_belgium,New Zealand,Belgium,G,2026-06-26,,,,,,,"{""round"": ""Matchday 16"", ""time"": ""20:00 UTC-7"", ""ground"": ""Vancouver""}"
openfootball,spain_vs_cape_verde,Spain,Cape Verde,H,2026-06-15,,,,,,,"{""round"": ""Matchday 5"", ""time"": ""12:00 UTC-4"", ""ground"": ""Atlanta""}"
openfootball,saudi_arabia_vs_uruguay,Saudi Arabia,Uruguay,H,2026-06-15,,,,,,,"{""round"": ""Matchday 5"", ""time"": ""18:00 UTC-4"", ""ground"": ""Miami (Miami Gardens)""}"
openfootball,spain_vs_saudi_arabia,Spain,Saudi Arabia,H,2026-06-21,,,,,,,"{""round"": ""Matchday 11"", ""time"": ""12:00 UTC-4"", ""ground"": ""Atlanta""}"
openfootball,uruguay_vs_cape_verde,Uruguay,Cape Verde,H,2026-06-21,,,,,,,"{""round"": ""Matchday 11"", ""time"": ""18:00 UTC-4"", ""ground"": ""Miami (Miami Gardens)""}"
openfootball,cape_verde_vs_saudi_arabia,Cape Verde,Saudi Arabia,H,2026-06-26,,,,,,,"{""round"": ""Matchday 16"", ""time"": ""19:00 UTC-5"", ""ground"": ""Houston""}"
openfootball,uruguay_vs_spain,Uruguay,Spain,H,2026-06-26,,,,,,,"{""round"": ""Matchday 16"", ""time"": ""18:00 UTC-6"", ""ground"": ""Guadalajara (Zapopan)""}"
openfootball,france_vs_senegal,France,Senegal,I,2026-06-16,,,,,,,"{""round"": ""Matchday 6"", ""time"": ""15:00 UTC-4"", ""ground"": ""New York/New Jersey (East Rutherford)""}"
openfootball,iraq_vs_norway,Iraq,Norway,I,2026-06-16,,,,,,,"{""round"": ""Matchday 6"", ""time"": ""18:00 UTC-4"", ""ground"": ""Boston (Foxborough)""}"
openfootball,france_vs_iraq,France,Iraq,I,2026-06-22,,,,,,,"{""round"": ""Matchday 12"", ""time"": ""17:00 UTC-4"", ""ground"": ""Philadelphia""}"
