scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-11 16:53:09 UTC,2026-06-18 15:00:00 UTC,https://www.oddsportal.com/football/h2h/canada-x4toKORL/qatar-zqzHL77i/#67vLrBMM,Canada,Qatar,World Championship 2026,,,,BC Place,"Vancouver, BC",Canada,"[{'1': '1.30', 'X': '5.00', '2': '10.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.28', 'X': '4.75', '2': '8.75', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.31', 'X': '5.25', '2': '11.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:53:25 UTC,2026-06-18 18:00:00 UTC,https://www.oddsportal.com/football/h2h/mexico-O6iHcNkd/south-korea-K6Gs7P6G/#On5HOkVj,Mexico,South Korea,World Championship 2026,,,,Estadio Akron,Zapopan,Mexico,"[{'1': '1.80', 'X': '3.50', '2': '4.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.77', 'X': '3.20', '2': '4.10', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.65', '2': '4.70', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:53:25 UTC,2026-06-19 12:00:00 UTC,https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/usa-fuitL4CF/#S0aAVubs,USA,Australia,World Championship 2026,,,,Lumen Field,"Seattle, WA",USA,"[{'1': '1.73', 'X': '3.90', '2': '4.33', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.30', '2': '4.20', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.76', 'X': '3.95', '2': '4.50', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:53:25 UTC,2026-06-19 15:00:00 UTC,https://www.oddsportal.com/football/h2h/morocco-IDKYO3R8/scotland-fZRU25WH/#nRafcAyG,Scotland,Morocco,World Championship 2026,,,,Gillette Stadium,"Foxborough, MA",USA,"[{'1': '4.00', 'X': '3.30', '2': '1.95', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '3.60', 'X': '3.10', '2': '1.90', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '4.20', 'X': '3.30', '2': '2.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:53:41 UTC,2026-06-19 17:30:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/haiti-nk4v10Z1/#IRyRv2Ll,Brazil,Haiti,World Championship 2026,,,,Lincoln Financial Field,"Philadelphia, PA",USA,"[{'1': '1.07', 'X': '11.00', '2': '29.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.07', 'X': '10.00', '2': '19.50', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.08', 'X': '13.00', '2': '26.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:53:41 UTC,2026-06-19 20:00:00 UTC,https://www.oddsportal.com/football/h2h/paraguay-YaNlqp6j/turkey-QeijuHo5/#KnyuOLXH,Turkey,Paraguay,World Championship 2026,,,,Levi's Stadium,"Santa Clara, CA",USA,"[{'1': '2.20', 'X': '3.10', '2': '3.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.00', '2': '3.10', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.20', '2': '3.45', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.20', '2': '3.40', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
2026-06-11 16:53:41 UTC,2026-06-20 10:00:00 UTC,https://www.oddsportal.com/football/h2h/netherlands-WYintcWb/sweden-OQyqbHWB/#0rAjVxuo,Netherlands,Sweden,World Championship 2026,,,,NRG Stadium,"Houston, TX",USA,"[{'1': '1.62', 'X': '4.00', '2': '5.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.60', 'X': '3.60', '2': '4.50', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.64', 'X': '4.20', '2': '5.25', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:53:57 UTC,2026-06-20 13:00:00 UTC,https://www.oddsportal.com/football/h2h/germany-ptQide1O/ivory-coast-G2FRjBgn/#SMzorJsm,Germany,Ivory Coast,World Championship 2026,,,,BMO Field,"Toronto, ON",Canada,"[{'1': '1.55', 'X': '4.20', '2': '5.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.50', 'X': '3.90', '2': '5.00', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.55', 'X': '4.40', '2': '5.75', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:53:57 UTC,2026-06-20 17:00:00 UTC,https://www.oddsportal.com/football/h2h/curacao-bLLGpOkQ/ecuador-8tbm8Tri/#p2XLmuKP,Ecuador,Curacao,World Championship 2026,,,,Arrowhead Stadium,"Kansas City, MO",USA,"[{'1': '1.18', 'X': '7.00', '2': '13.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.19', 'X': '5.75', '2': '11.00', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.20', 'X': '7.50', '2': '13.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '1.18', 'X': '6.50', '2': '15.00', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
2026-06-11 16:53:57 UTC,2026-06-20 21:00:00 UTC,https://www.oddsportal.com/football/h2h/japan-ULXPdOUj/tunisia-QqZVYk95/#SzGJdIdt,Tunisia,Japan,World Championship 2026,,,,Estadio BBVA,Monterrey,Mexico,"[{'1': '5.50', 'X': '3.50', '2': '1.67', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '4.50', 'X': '3.30', '2': '1.68', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '5.25', 'X': '3.70', '2': '1.71', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:54:13 UTC,2026-06-21 09:00:00 UTC,https://www.oddsportal.com/football/h2h/saudi-arabia-biSY8ox4/spain-bLyo6mco/#CASh7QGF,Spain,Saudi Arabia,World Championship 2026,,,,Mercedes-Benz Stadium,"Atlanta, GA",USA,"[{'1': '1.11', 'X': '9.00', '2': '19.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.10', 'X': '8.25', '2': '15.50', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.10', 'X': '11.00', '2': '23.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:54:13 UTC,2026-06-21 12:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/iran-xrRx85iA/#fBZ09etn,Belgium,Iran,World Championship 2026,,,,SoFi Stadium,"Inglewood, CA",USA,"[{'1': '1.40', 'X': '4.75', '2': '7.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.38', 'X': '4.10', '2': '6.75', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.80', '2': '8.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
