stage,group,slot,team,reach_prob,points_if_correct,expected_points
round_of_32,,,Belgium,0.94786,1,0.94786
round_of_32,,,Bosnia and Herzegovina,0.6233,1,0.6233
round_of_32,,,Brazil,0.96424,1,0.96424
round_of_32,,,Canada,0.88864,1,0.88864
round_of_32,,,Colombia,0.9029,1,0.9029
round_of_32,,,Croatia,0.84584,1,0.84584
round_of_32,,,Czech Republic,0.67124,1,0.67124
round_of_32,,,Ecuador,0.87692,1,0.87692
round_of_32,,,Egypt,0.7127,1,0.7127
round_of_32,,,England,0.95988,1,0.95988
round_of_32,,,France,0.95878,1,0.95878
round_of_32,,,Germany,0.96988,1,0.96988
round_of_32,,,Iran,0.69426,1,0.69426
round_of_32,,,Ivory Coast,0.76176,1,0.76176
round_of_32,,,Japan,0.80018,1,0.80018
round_of_32,,,Mexico,0.91058,1,0.91058
round_of_32,,,Morocco,0.8338,1,0.8338
round_of_32,,,Netherlands,0.8928,1,0.8928
round_of_32,,,Norway,0.8432,1,0.8432
round_of_32,,,Paraguay,0.64844,1,0.64844
round_of_32,,,Portugal,0.9456,1,0.9456
round_of_32,,,Scotland,0.64482,1,0.64482
round_of_32,,,Senegal,0.70234,1,0.70234
round_of_32,,,South Korea,0.70034,1,0.70034
round_of_32,,,Spain,0.982,1,0.982
round_of_32,,,Switzerland,0.93402,1,0.93402
round_of_32,,,Turkey,0.79978,1,0.79978
round_of_32,,,USA,0.78208,1,0.78208
round_of_32,,,Uruguay,0.86954,1,0.86954
round_of_16,,,Argentina,0.6559,2,1.3118
round_of_16,,,Belgium,0.62612,2,1.25224
round_of_16,,,Brazil,0.64712,2,1.29424
round_of_16,,,Canada,0.45454,2,0.90908
round_of_16,,,Colombia,0.53692,2,1.07384
round_of_16,,,Ecuador,0.46094,2,0.92188
round_of_16,,,England,0.66866,2,1.33732
round_of_16,,,France,0.73396,2,1.46792
round_of_16,,,Germany,0.66276,2,1.32552
round_of_16,,,Mexico,0.54212,2,1.08424
round_of_16,,,Netherlands,0.52796,2,1.05592
round_of_16,,,Portugal,0.61914,2,1.23828
round_of_16,,,Spain,0.72172,2,1.44344
round_of_16,,,Switzerland,0.55756,2,1.11512
round_of_16,,,Turkey,0.32772,2,0.65544
round_of_16,,,USA,0.42838,2,0.85676
quarter_finals,,,Argentina,0.5071,4,2.0284
quarter_finals,,,Belgium,0.36718,4,1.46872
quarter_finals,,,Brazil,0.437,4,1.748
quarter_finals,,,England,0.43848,4,1.75392
quarter_finals,,,France,0.50892,4,2.03568
quarter_finals,,,Netherlands,0.35104,4,1.40416
quarter_finals,,,Portugal,0.3819,4,1.5276
quarter_finals,,,Spain,0.52388,4,2.09552
semi_finals,,,Argentina,0.36556,6,2.19336
semi_finals,,,Brazil,0.27124,6,1.62744
semi_finals,,,France,0.3444,6,2.0664
semi_finals,,,Spain,0.39468,6,2.36808
finalists,,,Argentina,0.2408,10,2.408
finalists,,,Spain,0.26438,10,2.6438
winner,,,Spain,0.16828,15,2.5242
